Datum,Lufttemperatur,Kvalitet,Snittemperatur,Year
1961-01-01,1.4,G,1.07,1961
1961-01-02,2.8,G,2.27,1961
1961-01-03,2.8,G,2.27,1961
1961-01-04,3.8,G,2.53,1961
1961-01-05,2.6,G,2.13,1961
1961-01-06,2.4,G,1.8,1961
1961-01-07,0.6,G,0.47,1961
1961-01-08,0.4,G,0.0,1961
1961-01-09,2.6,G,1.2,1961
1961-01-10,0.2,G,0.07,1961
1961-01-11,-2.4,G,-4.07,1961
1961-01-12,1.4,G,-2.67,1961
1961-01-13,5.6,G,4.87,1961
1961-01-14,5.4,G,2.73,1961
1961-01-15,6.0,G,4.6,1961
1961-01-16,4.2,G,0.33,1961
1961-01-17,1.2,G,-0.13,1961
1961-01-18,1.0,G,-1.4,1961
1961-01-19,-1.8,G,-3.4,1961
1961-01-20,0.0,G,-3.8,1961
1961-01-21,-2.0,G,-4.4,1961
1961-01-22,-5.2,G,-5.6,1961
1961-01-23,0.5,G,-1.97,1961
1961-01-24,-1.6,G,-4.33,1961
1961-01-25,-6.0,G,-8.73,1961
1961-01-26,-1.4,G,-3.0,1961
1961-01-27,-1.6,G,-2.4,1961
1961-01-28,2.2,G,1.4,1961
1961-01-29,3.6,G,2.67,1961
1961-01-30,5.2,G,4.37,1961
1961-01-31,3.6,G,3.27,1961
1961-02-01,3.0,G,2.4,1961
1961-02-02,2.0,G,1.33,1961
1961-02-03,1.6,G,-0.13,1961
1961-02-04,2.0,G,-1.27,1961
1961-02-05,1.0,G,-2.13,1961
1961-02-06,4.4,G,1.73,1961
1961-02-07,3.8,G,3.4,1961
1961-02-08,5.8,G,3.67,1961
1961-02-09,2.8,G,2.13,1961
1961-02-10,3.6,G,2.67,1961
1961-02-11,3.6,G,3.27,1961
1961-02-12,2.2,G,1.87,1961
1961-02-13,3.2,G,2.07,1961
1961-02-14,6.2,G,5.33,1961
1961-02-15,4.6,G,4.0,1961
1961-02-16,5.2,G,4.33,1961
1961-02-17,4.8,G,4.33,1961
1961-02-18,4.8,G,3.6,1961
1961-02-19,5.0,G,4.27,1961
1961-02-20,3.4,G,3.33,1961
1961-02-21,4.4,G,4.0,1961
1961-02-22,3.0,G,2.6,1961
1961-02-23,1.4,G,0.8,1961
1961-02-24,2.4,G,0.67,1961
1961-02-25,8.0,G,6.2,1961
1961-02-26,6.4,G,5.2,1961
1961-02-27,6.4,G,6.07,1961
1961-02-28,3.9,G,3.3,1961
1961-03-01,2.0,G,1.8,1961
1961-03-02,4.8,G,3.53,1961
1961-03-03,8.0,G,5.33,1961
1961-03-04,5.7,G,4.97,1961
1961-03-05,5.6,G,4.8,1961
1961-03-06,7.4,G,6.4,1961
1961-03-07,11.2,G,7.4,1961
1961-03-08,7.8,G,6.07,1961
1961-03-09,9.4,G,8.0,1961
1961-03-10,4.8,G,4.2,1961
1961-03-11,8.4,G,6.47,1961
1961-03-12,7.0,G,6.6,1961
1961-03-13,7.4,G,5.27,1961
1961-03-14,7.0,G,6.4,1961
1961-03-15,10.0,G,7.67,1961
1961-03-16,11.2,G,8.87,1961
1961-03-17,8.6,G,6.8,1961
1961-03-18,5.2,G,3.87,1961
1961-03-19,5.4,G,1.4,1961
1961-03-20,2.8,G,2.0,1961
1961-03-21,4.8,G,1.87,1961
1961-03-22,7.8,G,5.13,1961
1961-03-23,7.6,G,6.93,1961
1961-03-24,8.0,G,6.73,1961
1961-03-25,7.8,G,6.8,1961
1961-03-26,6.4,G,5.93,1961
1961-03-27,5.4,G,4.33,1961
1961-03-28,6.6,G,5.0,1961
1961-03-29,6.4,G,4.67,1961
1961-03-30,6.2,G,3.33,1961
1961-03-31,4.0,G,2.67,1961
1961-04-01,3.4,G,1.93,1961
1961-04-02,5.2,G,3.13,1961
1961-04-03,3.2,G,1.67,1961
1961-04-04,6.4,G,4.13,1961
1961-04-05,1.6,G,1.07,1961
1961-04-06,8.0,G,7.07,1961
1961-04-07,6.5,G,6.03,1961
1961-04-08,6.5,G,5.3,1961
1961-04-09,7.1,G,3.77,1961
1961-04-10,7.6,G,4.27,1961
1961-04-11,9.6,G,6.87,1961
1961-04-12,9.2,G,7.33,1961
1961-04-13,10.6,G,9.4,1961
1961-04-14,11.0,G,9.27,1961
1961-04-15,10.2,G,8.0,1961
1961-04-16,13.6,G,8.87,1961
1961-04-17,12.8,G,9.6,1961
1961-04-18,10.8,G,9.07,1961
1961-04-19,13.8,G,9.73,1961
1961-04-20,12.6,G,9.33,1961
1961-04-21,13.8,G,9.87,1961
1961-04-22,17.6,G,13.53,1961
1961-04-23,21.4,G,16.93,1961
1961-04-24,21.4,G,16.73,1961
1961-04-25,18.2,G,15.07,1961
1961-04-26,18.6,G,15.4,1961
1961-04-27,22.0,G,16.93,1961
1961-04-28,18.6,G,13.57,1961
1961-04-29,12.0,G,8.93,1961
1961-04-30,12.4,G,10.47,1961
1961-05-01,13.6,G,11.2,1961
1961-05-02,14.4,G,10.93,1961
1961-05-03,11.4,G,10.0,1961
1961-05-04,13.2,G,11.53,1961
1961-05-05,13.0,G,11.93,1961
1961-05-06,11.4,G,10.07,1961
1961-05-07,10.8,G,10.47,1961
1961-05-08,11.6,G,10.33,1961
1961-05-09,14.6,G,12.13,1961
1961-05-10,12.8,G,11.2,1961
1961-05-11,15.4,G,11.73,1961
1961-05-12,13.2,G,10.93,1961
1961-05-13,10.4,G,10.13,1961
1961-05-14,11.8,G,10.53,1961
1961-05-15,16.2,G,12.8,1961
1961-05-16,16.8,G,13.2,1961
