Month,Kvalitet,Snittemperatur
1961-01,G,4.87
1961-02,G,6.2
1961-03,G,8.87
1961-04,G,16.93
1961-05,G,17.4
1961-06,G,22.73
1961-07,G,20.2
1961-08,G,19.0
1961-09,G,17.47
1961-10,G,16.0
1961-11,G,11.2
1961-12,G,6.73
1962-01,G,5.4
1962-02,G,6.47
1962-03,G,3.8
1962-04,G,14.6
1962-05,G,12.0
1962-06,G,18.13
1962-07,G,17.93
1962-08,G,17.07
1962-09,G,14.93
1962-10,G,16.67
1962-11,G,10.53
1962-12,G,5.47
1963-01,G,1.4
1963-02,G,1.8
1963-03,G,2.73
1963-04,G,10.13
1963-05,G,21.8
1963-06,G,22.07
1963-07,G,21.53
1963-08,G,21.73
1963-09,G,16.8
1963-10,G,12.0
1963-11,G,9.47
1963-12,G,5.4
1964-01,G,4.87
1964-02,G,5.67
1964-03,G,5.0
1964-04,G,18.2
1964-05,G,19.8
1964-06,G,23.93
1964-07,G,20.33
1964-08,G,20.33
1964-09,G,17.87
1964-10,G,12.8
1964-11,G,8.67
1964-12,G,8.4
1965-01,G,5.0
1965-02,G,3.87
1965-03,G,8.27
1965-04,G,13.13
1965-05,G,16.53
1965-06,G,19.73
1965-07,G,22.67
1965-08,G,19.33
1965-09,G,17.93
1965-10,G,12.87
1965-11,G,9.87
1965-12,G,3.73
1966-01,G,2.67
1966-02,G,4.33
1966-03,G,5.97
1966-04,G,11.0
1966-05,G,21.8
1966-06,G,24.47
1966-07,G,26.33
1966-08,G,19.53
1966-09,G,15.73
1966-10,G,14.13
1966-11,G,9.6
1966-12,G,6.6
1967-01,G,4.27
1967-02,G,4.93
1967-03,G,7.93
1967-04,G,10.2
1967-05,G,20.67
1967-06,G,19.13
1967-07,G,23.13
1967-08,G,23.67
1967-09,G,17.47
1967-10,G,14.27
1967-11,G,9.73
1967-12,G,9.0
1968-01,G,5.0
1968-02,G,4.27
1968-03,G,10.07
1968-04,G,15.47
1968-05,G,17.8
1968-06,G,25.27
1968-07,G,24.2
1968-08,G,23.6
1968-09,G,22.6
1968-10,G,12.27
1968-11,G,9.2
1968-12,G,3.73
1969-01,G,2.87
1969-02,G,2.2
1969-03,G,3.53
1969-04,G,10.8
1969-07,G,25.4
1969-08,G,26.57
1969-09,G,19.93
1969-10,G,14.1
1969-11,G,9.6
1969-12,G,3.07
1970-01,G,1.33
1970-02,G,0.6
1970-03,G,2.6
1970-04,G,6.73
1970-05,G,17.93
1970-06,G,23.53
1970-07,G,23.13
1970-08,G,20.93
1970-09,G,16.07
1970-10,G,13.07
1970-11,G,8.0
1970-12,G,6.2
1971-01,G,4.93
1971-02,G,4.6
1971-03,G,4.73
1971-04,G,9.5
1971-05,G,20.07
1971-06,G,21.93
1971-07,G,24.07
1971-08,G,21.8
1971-09,G,15.47
1971-10,G,14.07
1971-11,G,11.4
1971-12,G,8.6
1972-01,G,1.33
1972-02,G,2.93
1972-03,G,8.73
1972-04,G,9.33
1972-05,G,18.1
1972-06,G,24.43
1972-07,G,24.63
1972-08,G,21.1
1972-09,G,17.13
1972-10,G,13.53
1972-11,G,10.73
1972-12,G,8.33
1973-01,G,6.37
1973-02,G,6.93
1973-03,G,9.1
1973-04,G,11.73
1973-05,G,19.77
1973-06,G,22.47
1973-07,G,26.73
1973-08,G,21.87
1973-09,G,16.67
1973-10,G,13.97
1973-11,G,9.77
1973-12,G,5.43
1974-01,G,5.97
1974-02,G,7.2
1974-03,G,8.47
1974-04,G,14.07
1974-05,G,17.63
1974-06,G,22.5
1974-07,G,18.6
1974-08,G,21.0
1974-09,G,21.8
1974-10,G,10.2
1974-11,G,9.4
1974-12,G,7.8
1975-01,G,8.5
1975-02,G,5.73
1975-03,G,7.4
1975-04,G,14.6
1975-05,G,21.6
1975-06,G,23.37
1975-07,G,23.27
1975-08,G,27.23
1975-09,G,19.93
1975-10,G,14.33
1975-11,G,10.4
1975-12,G,8.13
1976-01,G,6.47
1976-02,G,5.97
1976-03,Y,5.63
1976-04,G,11.07
1976-05,G,21.37
1976-06,G,22.1
1976-07,G,22.6
1976-08,G,22.83
1976-09,Y,15.6
1983-04,Y,13.87
1983-05,Y,15.97
1983-06,G,25.13
1983-07,Y,24.77
1983-08,Y,22.97
1983-09,Y,19.97
1983-10,Y,13.43
1983-11,G,10.13
1983-12,Y,6.8
1984-01,Y,5.7
1984-02,G,2.9
1984-03,Y,4.97
1984-04,G,13.83
1984-05,G,22.27
1984-06,Y,23.53
1984-07,Y,23.73
1984-08,Y,21.1
1984-09,Y,15.3
1984-10,Y,15.5
1984-11,Y,10.87
1984-12,G,8.33
1985-01,G,1.57
1985-02,G,3.27
1985-03,G,3.7
1985-04,Y,7.37
1985-05,Y,21.65
1985-06,Y,18.55
1985-07,G,19.76
1985-08,G,19.24
1985-09,G,15.62
1985-10,G,15.69
1985-11,G,7.94
1985-12,G,7.11
1986-01,G,3.0
1986-02,G,-0.18
1986-03,G,5.9
1986-04,G,9.7
1986-05,Y,12.8
1986-06,G,21.0
1986-07,G,20.15
1986-08,G,19.64
1986-09,Y,13.64
1986-10,Y,12.52
1986-11,Y,10.07
1986-12,Y,9.36
1987-01,Y,3.32
1987-02,Y,2.74
