,Datum,Tid (UTC),Kvalitet,Snittemperatur,Year
11688,1976-01-01,23:00:00,Y,1.32,1976.0
11689,1976-01-02,23:00:00,Y,-3.12,1976.0
11690,1976-01-03,23:00:00,Y,-0.97,1976.0
11691,1976-01-04,23:00:00,Y,-5.14,1976.0
11692,1976-01-05,23:00:00,Y,-1.74,1976.0
11693,1976-01-06,23:00:00,Y,-6.69,1976.0
11694,1976-01-07,23:00:00,Y,1.34,1976.0
11695,1976-01-08,23:00:00,Y,5.24,1976.0
11696,1976-01-09,23:00:00,Y,3.51,1976.0
11697,1976-01-10,23:00:00,Y,0.98,1976.0
11698,1976-01-11,23:00:00,Y,2.88,1976.0
11699,1976-01-12,23:00:00,Y,2.94,1976.0
11700,1976-01-13,23:00:00,Y,0.02,1976.0
11701,1976-01-14,23:00:00,Y,-3.21,1976.0
11702,1976-01-15,23:00:00,Y,-7.84,1976.0
11703,1976-01-16,23:00:00,Y,-3.68,1976.0
11704,1976-01-17,23:00:00,Y,-0.21,1976.0
11705,1976-01-18,23:00:00,Y,3.62,1976.0
11706,1976-01-19,23:00:00,Y,3.42,1976.0
11707,1976-01-20,23:00:00,Y,4.32,1976.0
11708,1976-01-21,23:00:00,Y,3.16,1976.0
11709,1976-01-22,23:00:00,Y,0.08,1976.0
11710,1976-01-23,23:00:00,Y,-5.53,1976.0
11711,1976-01-24,23:00:00,Y,-7.92,1976.0
11712,1976-01-25,23:00:00,Y,-6.73,1976.0
11713,1976-01-26,23:00:00,Y,-5.86,1976.0
11714,1976-01-27,23:00:00,Y,-7.96,1976.0
11715,1976-01-28,23:00:00,Y,-5.49,1976.0
11716,1976-01-29,23:00:00,Y,-5.74,1976.0
11717,1976-01-30,23:00:00,Y,-6.41,1976.0
11718,1976-01-31,23:00:00,Y,-3.43,1976.0
11719,1976-02-01,23:00:00,Y,-5.05,1976.0
11720,1976-02-02,23:00:00,Y,-3.23,1976.0
11721,1976-02-03,23:00:00,Y,-3.88,1976.0
11722,1976-02-04,23:00:00,Y,-5.51,1976.0
11723,1976-02-05,23:00:00,Y,-5.78,1976.0
11724,1976-02-06,23:00:00,Y,-5.15,1976.0
11725,1976-02-07,23:00:00,Y,-2.81,1976.0
11726,1976-02-08,23:00:00,Y,-3.31,1976.0
11727,1976-02-09,23:00:00,Y,-1.2,1976.0
11728,1976-02-10,23:00:00,Y,1.08,1976.0
11729,1976-02-11,23:00:00,Y,0.2,1976.0
11730,1976-02-12,23:00:00,Y,0.1,1976.0
11731,1976-02-13,23:00:00,Y,0.09,1976.0
11732,1976-02-14,23:00:00,Y,-1.63,1976.0
11733,1976-02-15,23:00:00,Y,-4.64,1976.0
11734,1976-02-16,23:00:00,Y,0.14,1976.0
11735,1976-02-17,23:00:00,Y,-0.23,1976.0
11736,1976-02-18,23:00:00,Y,-1.56,1976.0
11737,1976-02-19,23:00:00,Y,-1.45,1976.0
11738,1976-02-20,23:00:00,Y,0.25,1976.0
11739,1976-02-21,23:00:00,Y,1.08,1976.0
11740,1976-02-22,23:00:00,Y,-0.23,1976.0
