Year,Month,Day,day_of_year
1944,5,26,147
1945,5,11,131
1946,4,26,116
1947,5,4,124
1948,4,17,108
1949,5,12,132
1950,5,4,124
1951,5,17,137
1952,5,4,125
1953,5,1,121
1954,5,9,129
1955,5,27,147
1956,5,22,143
1957,5,15,135
1958,5,19,139
1959,5,8,128
1960,5,7,128
1961,4,22,112
1962,6,3,154
1963,5,21,141
1964,5,20,141
1965,5,28,148
1966,5,13,133
1967,5,11,131
1968,4,28,119
1969,5,23,143
1970,5,6,126
1971,5,6,126
1972,5,1,122
1973,5,20,140
1974,5,13,133
1975,5,6,126
1976,5,15,136
1977,5,17,137
1978,5,17,137
1979,5,14,134
1980,5,14,135
1981,5,8,128
1982,5,13,133
1983,5,13,133
1984,5,14,135
1985,5,6,126
1986,5,2,122
1987,5,22,142
1988,5,8,129
1989,5,15,135
1990,4,21,111
1991,5,27,147
1992,5,13,134
1993,4,24,114
1994,5,7,127
1995,5,24,144
1996,5,31,152
1997,5,11,131
1998,4,28,118
1999,5,18,138
2000,4,26,117
2001,5,7,127
2002,5,5,125
2003,5,21,141
2004,4,28,119
2005,5,20,140
2006,5,3,123
2007,4,24,114
2008,4,27,118
2009,4,23,113
2010,5,14,134
2011,4,18,108
2012,4,29,120
2013,5,4,124
2014,4,19,109
2015,5,11,131
2016,5,5,126
2017,5,1,121
2018,5,5,125
2019,4,18,108
2020,4,20,111
2021,5,9,129
2022,4,19,109
