Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
1961-01-01 06:00:01,1961-01-02 06:00:00,1961-01-01,0.3,Y
1961-01-02 06:00:01,1961-01-03 06:00:00,1961-01-02,0.5,Y
1961-01-03 06:00:01,1961-01-04 06:00:00,1961-01-03,8.4,Y
1961-01-04 06:00:01,1961-01-05 06:00:00,1961-01-04,0.0,Y
1961-01-05 06:00:01,1961-01-06 06:00:00,1961-01-05,2.0,Y
1961-01-06 06:00:01,1961-01-07 06:00:00,1961-01-06,0.7,Y
1961-01-07 06:00:01,1961-01-08 06:00:00,1961-01-07,0.3,Y
1961-01-08 06:00:01,1961-01-09 06:00:00,1961-01-08,0.1,Y
1961-01-09 06:00:01,1961-01-10 06:00:00,1961-01-09,21.4,Y
1961-01-10 06:00:01,1961-01-11 06:00:00,1961-01-10,1.8,Y
1961-01-11 06:00:01,1961-01-12 06:00:00,1961-01-11,0.0,Y
1961-01-12 06:00:01,1961-01-13 06:00:00,1961-01-12,9.2,Y
1961-01-13 06:00:01,1961-01-14 06:00:00,1961-01-13,0.0,Y
1961-01-14 06:00:01,1961-01-15 06:00:00,1961-01-14,0.0,Y
1961-01-15 06:00:01,1961-01-16 06:00:00,1961-01-15,0.0,Y
1961-01-16 06:00:01,1961-01-17 06:00:00,1961-01-16,0.0,Y
1961-01-17 06:00:01,1961-01-18 06:00:00,1961-01-17,0.0,Y
1961-01-18 06:00:01,1961-01-19 06:00:00,1961-01-18,0.0,Y
1961-01-19 06:00:01,1961-01-20 06:00:00,1961-01-19,0.0,Y
1961-01-20 06:00:01,1961-01-21 06:00:00,1961-01-20,0.0,Y
1961-01-21 06:00:01,1961-01-22 06:00:00,1961-01-21,0.0,Y
1961-01-22 06:00:01,1961-01-23 06:00:00,1961-01-22,0.0,Y
1961-01-23 06:00:01,1961-01-24 06:00:00,1961-01-23,0.1,Y
1961-01-24 06:00:01,1961-01-25 06:00:00,1961-01-24,0.0,Y
1961-01-25 06:00:01,1961-01-26 06:00:00,1961-01-25,0.0,Y
1961-01-26 06:00:01,1961-01-27 06:00:00,1961-01-26,0.0,Y
1961-01-27 06:00:01,1961-01-28 06:00:00,1961-01-27,4.6,Y
1961-01-28 06:00:01,1961-01-29 06:00:00,1961-01-28,5.5,Y
1961-01-29 06:00:01,1961-01-30 06:00:00,1961-01-29,6.3,Y
