index,Datum,Kvalitet,Snittemperatur,Year,Month,day_of_year,Over_10_5_days_in_a_row,0_or_under_5_days_in_a_row
0,1944-01-01,G,3.2,1944,1,1,0,0
1,1944-01-02,G,3.6,1944,1,2,0,0
2,1944-01-03,G,2.8,1944,1,3,0,0
3,1944-01-04,G,-4.47,1944,1,4,0,0
4,1944-01-05,G,-1.4,1944,1,5,0,0
5,1944-01-06,G,6.0,1944,1,6,0,0
6,1944-01-07,G,2.0,1944,1,7,0,0
7,1944-01-08,G,0.93,1944,1,8,0,0
8,1944-01-09,G,-3.73,1944,1,9,0,0
9,1944-01-10,G,-6.53,1944,1,10,0,0
10,1944-01-11,G,-1.87,1944,1,11,0,0
11,1944-01-12,G,-8.0,1944,1,12,0,0
12,1944-01-13,G,-2.33,1944,1,13,0,1
13,1944-01-14,G,4.47,1944,1,14,0,0
14,1944-01-15,G,4.6,1944,1,15,0,0
15,1944-01-16,G,3.93,1944,1,16,0,0
16,1944-01-17,G,2.73,1944,1,17,0,0
17,1944-01-18,G,4.17,1944,1,18,0,0
18,1944-01-19,G,4.33,1944,1,19,0,0
19,1944-01-20,G,3.33,1944,1,20,0,0
20,1944-01-21,G,3.6,1944,1,21,0,0
21,1944-01-22,G,5.2,1944,1,22,0,0
22,1944-01-23,G,4.87,1944,1,23,0,0
23,1944-01-24,G,2.8,1944,1,24,0,0
24,1944-01-25,G,2.07,1944,1,25,0,0
25,1944-01-26,G,1.93,1944,1,26,0,0
26,1944-01-27,G,4.43,1944,1,27,0,0
27,1944-01-28,G,5.73,1944,1,28,0,0
28,1944-01-29,G,4.53,1944,1,29,0,0
29,1944-01-30,G,5.07,1944,1,30,0,0
30,1944-01-31,G,4.8,1944,1,31,0,0
31,1944-02-01,G,5.13,1944,2,32,0,0
32,1944-02-02,G,5.03,1944,2,33,0,0
33,1944-02-03,G,5.33,1944,2,34,0,0
34,1944-02-04,G,1.8,1944,2,35,0,0
35,1944-02-05,G,0.8,1944,2,36,0,0
36,1944-02-06,G,-1.8,1944,2,37,0,0
37,1944-02-07,G,3.8,1944,2,38,0,0
38,1944-02-08,G,4.07,1944,2,39,0,0
39,1944-02-09,G,-0.2,1944,2,40,0,0
