index,Datum,Nederbördsmängd,Kvalitet,Year,Month,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
0,1944-01-01,0.2,G,1944,1,2.7,16.6
1,1944-01-02,0.4,G,1944,1,2.7,16.6
2,1944-01-03,0.0,G,1944,1,2.7,16.6
3,1944-01-04,0.0,G,1944,1,2.7,16.6
4,1944-01-05,2.1,G,1944,1,2.7,16.6
5,1944-01-06,0.0,G,1944,1,2.7,16.6
6,1944-01-07,0.0,G,1944,1,2.7,16.6
7,1944-01-08,14.3,G,1944,1,2.7,16.6
8,1944-01-09,2.9,G,1944,1,2.7,16.6
9,1944-01-10,0.0,G,1944,1,2.7,16.6
10,1944-01-11,0.0,G,1944,1,2.7,16.6
11,1944-01-12,0.0,G,1944,1,2.7,16.6
12,1944-01-13,15.6,G,1944,1,2.7,16.6
13,1944-01-14,0.0,G,1944,1,2.7,16.6
14,1944-01-15,0.0,G,1944,1,2.7,16.6
15,1944-01-16,0.0,G,1944,1,2.7,16.6
16,1944-01-17,1.4,G,1944,1,2.7,16.6
17,1944-01-18,0.5,G,1944,1,2.7,16.6
18,1944-01-19,16.6,G,1944,1,2.7,16.6
19,1944-01-20,0.2,G,1944,1,2.7,16.6
20,1944-01-21,0.7,G,1944,1,2.7,16.6
21,1944-01-22,9.7,G,1944,1,2.7,16.6
22,1944-01-23,9.3,G,1944,1,2.7,16.6
23,1944-01-24,0.0,G,1944,1,2.7,16.6
24,1944-01-25,7.5,G,1944,1,2.7,16.6
25,1944-01-26,0.7,G,1944,1,2.7,16.6
26,1944-01-27,1.4,G,1944,1,2.7,16.6
27,1944-01-28,0.0,G,1944,1,2.7,16.6
28,1944-01-29,0.0,G,1944,1,2.7,16.6
29,1944-01-30,0.0,G,1944,1,2.7,16.6
30,1944-01-31,0.1,G,1944,1,2.7,16.6
31,1944-02-01,4.2,G,1944,2,0.69,9.8
32,1944-02-02,2.0,G,1944,2,0.69,9.8
33,1944-02-03,1.4,G,1944,2,0.69,9.8
34,1944-02-04,1.0,G,1944,2,0.69,9.8
35,1944-02-05,0.0,G,1944,2,0.69,9.8
36,1944-02-06,0.5,G,1944,2,0.69,9.8
37,1944-02-07,9.8,G,1944,2,0.69,9.8
38,1944-02-08,0.0,G,1944,2,0.69,9.8
39,1944-02-09,0.0,G,1944,2,0.69,9.8
40,1944-02-10,0.0,G,1944,2,0.69,9.8
41,1944-02-11,0.0,G,1944,2,0.69,9.8
42,1944-02-12,0.0,G,1944,2,0.69,9.8
43,1944-02-13,0.0,G,1944,2,0.69,9.8
44,1944-02-14,0.0,G,1944,2,0.69,9.8
45,1944-02-15,0.1,G,1944,2,0.69,9.8
46,1944-02-16,0.0,G,1944,2,0.69,9.8
47,1944-02-17,0.0,G,1944,2,0.69,9.8
48,1944-02-18,0.0,G,1944,2,0.69,9.8
49,1944-02-19,0.0,G,1944,2,0.69,9.8
50,1944-02-20,0.0,G,1944,2,0.69,9.8
51,1944-02-21,0.5,G,1944,2,0.69,9.8
52,1944-02-22,0.2,G,1944,2,0.69,9.8
53,1944-02-23,0.0,G,1944,2,0.69,9.8
54,1944-02-24,0.2,G,1944,2,0.69,9.8
55,1944-02-25,0.0,G,1944,2,0.69,9.8
56,1944-02-26,0.0,G,1944,2,0.69,9.8
57,1944-02-27,0.0,G,1944,2,0.69,9.8
58,1944-02-28,0.0,G,1944,2,0.69,9.8
59,1944-02-29,0.0,G,1944,2,0.69,9.8
60,1944-03-01,3.2,G,1944,3,0.64,4.0
61,1944-03-02,0.0,G,1944,3,0.64,4.0
62,1944-03-03,0.0,G,1944,3,0.64,4.0
63,1944-03-04,0.0,G,1944,3,0.64,4.0
