index,Year,Month,Kvalitet,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
0,1944,1,G,2.7,16.6
1,1944,2,G,0.69,9.8
2,1944,3,G,0.64,4.0
3,1944,4,G,1.2,12.8
4,1944,5,G,1.54,10.0
5,1944,6,G,2.74,15.0
6,1944,7,G,1.67,19.8
7,1944,8,G,1.32,20.4
8,1944,9,G,4.5,32.0
9,1944,10,G,1.88,19.0
10,1944,11,G,3.77,18.0
11,1944,12,G,2.88,17.5
12,1945,1,G,2.18,18.2
13,1945,2,G,2.2,12.5
14,1945,3,G,0.96,9.8
15,1945,4,G,0.66,12.0
16,1945,5,G,1.61,11.5
17,1945,6,G,1.96,28.0
18,1945,7,G,4.47,57.0
19,1945,8,G,3.25,24.2
20,1945,9,G,2.25,16.0
21,1945,10,G,1.56,15.4
22,1945,11,G,0.94,15.3
23,1945,12,G,1.48,10.6
24,1946,1,G,1.47,11.0
25,1946,2,G,2.14,15.2
26,1946,3,G,0.85,7.3
27,1946,4,G,0.78,8.3
28,1946,5,G,1.04,22.1
29,1946,6,G,3.21,25.8
30,1946,7,G,3.59,50.0
31,1946,8,G,1.83,11.2
32,1946,9,G,4.94,24.4
33,1946,10,G,0.8,11.3
34,1946,11,G,2.83,10.7
35,1946,12,G,1.42,11.4
36,1947,1,G,0.61,7.2
37,1947,2,G,0.4,7.0
38,1947,3,G,2.07,12.7
39,1947,4,G,1.77,11.1
40,1947,5,G,0.03,0.7
41,1947,6,G,1.35,15.0
42,1947,7,G,1.59,14.5
43,1947,8,G,0.25,6.1
44,1947,9,G,1.1,10.9
45,1947,10,G,0.34,3.1
46,1947,11,G,3.54,18.8
47,1947,12,G,0.77,4.8
48,1948,1,G,1.77,19.0
49,1948,2,G,1.12,11.0
50,1948,3,G,0.68,5.5
51,1948,4,G,2.07,17.2
52,1948,5,G,0.77,8.8
53,1948,6,G,1.74,16.1
54,1948,7,G,1.33,8.6
55,1948,8,G,3.67,28.5
56,1948,9,G,2.34,16.6
57,1948,10,G,1.72,16.5
58,1948,11,G,0.99,6.3
59,1948,12,G,1.66,17.3
60,1949,1,G,2.29,13.1
61,1949,2,G,1.01,8.8
62,1949,3,G,0.25,2.2
63,1949,4,G,2.82,22.4
64,1949,5,G,2.23,24.9
65,1949,6,G,0.56,6.2
66,1949,7,G,0.92,12.6
67,1949,8,G,2.32,25.9
68,1949,9,G,1.34,14.6
69,1949,10,G,4.97,35.8
70,1949,11,G,1.63,11.7
71,1949,12,G,3.91,17.0
72,1950,1,G,0.93,6.2
73,1950,2,G,2.99,17.8
74,1950,3,G,2.15,30.8
75,1950,4,G,1.65,11.1
76,1950,5,G,1.55,14.4
77,1950,6,G,1.47,11.9
78,1950,7,G,2.05,19.4
79,1950,8,G,3.64,27.2
80,1950,9,G,5.02,24.5
81,1950,10,G,3.36,19.8
82,1950,11,G,3.58,20.2
83,1950,12,G,2.03,16.8
84,1951,1,Y,3.57,21.6
85,1951,2,Y,2.08,10.2
86,1951,3,Y,1.65,18.0
87,1951,4,Y,2.24,20.8
88,1951,5,Y,0.42,8.5
89,1951,6,Y,0.4,6.1
90,1951,7,Y,0.96,8.5
91,1951,8,Y,4.19,41.8
92,1951,9,Y,2.31,18.6
93,1951,10,Y,0.51,9.5
94,1951,11,Y,2.71,10.0
95,1951,12,Y,1.84,10.7
96,1952,1,Y,1.43,8.3
97,1952,2,Y,1.13,6.9
98,1952,3,Y,0.51,6.0
99,1952,4,Y,1.6,18.0
100,1952,5,Y,1.17,16.3
101,1952,6,Y,1.17,20.5
102,1952,7,Y,1.97,16.0
103,1952,8,Y,2.72,15.0
104,1952,9,Y,2.67,26.3
105,1952,10,Y,2.42,37.9
106,1952,11,Y,1.19,8.2
107,1952,12,Y,1.55,8.8
108,1953,1,Y,1.02,12.0
109,1953,2,Y,0.78,6.9
110,1953,3,Y,0.2,3.2
111,1953,4,Y,2.23,18.0
112,1953,5,Y,1.39,13.0
113,1953,6,Y,2.0,18.0
114,1953,7,Y,3.92,28.0
115,1953,8,Y,3.49,25.6
116,1953,9,Y,3.4,27.1
117,1953,10,Y,1.43,18.9
118,1953,11,Y,1.48,8.8
119,1953,12,Y,2.41,33.8
120,1954,1,Y,1.85,25.7
121,1954,2,Y,0.62,5.2
122,1954,3,Y,2.2,20.1
123,1954,4,Y,0.84,7.6
124,1954,5,Y,2.18,22.3
125,1954,6,Y,1.81,10.4
126,1954,7,Y,2.23,19.5
127,1954,8,Y,1.48,10.8
128,1954,9,Y,4.03,14.6
129,1954,10,Y,2.97,16.8
130,1954,11,Y,2.64,11.7
131,1954,12,Y,2.57,13.6
132,1955,1,Y,1.31,17.0
133,1955,2,Y,0.61,3.9
134,1955,3,Y,0.34,3.2
135,1955,4,Y,0.91,12.1
136,1955,5,Y,2.81,14.4
137,1955,6,Y,0.87,6.9
138,1955,7,Y,0.83,24.6
139,1955,8,Y,1.86,13.5
140,1955,9,Y,2.27,11.5
141,1955,10,Y,3.45,25.4
142,1955,11,Y,1.39,14.2
143,1955,12,Y,3.4,17.4
144,1956,1,Y,1.47,12.2
145,1956,2,Y,0.49,4.8
146,1956,3,Y,0.48,8.5
147,1956,4,Y,0.88,5.2
148,1956,5,Y,0.8,8.0
149,1956,6,Y,2.38,16.8
150,1956,7,Y,1.99,18.5
151,1956,8,Y,2.91,15.0
152,1956,9,Y,1.71,16.0
153,1956,10,Y,0.8,6.1
154,1956,11,Y,1.12,12.0
155,1956,12,Y,1.52,9.3
156,1957,1,Y,1.84,8.6
157,1957,2,Y,2.48,18.6
158,1957,3,Y,1.85,19.6
159,1957,4,Y,0.65,6.6
160,1957,5,Y,0.49,4.3
161,1957,6,Y,2.23,25.0
162,1957,7,Y,2.52,23.4
163,1957,8,Y,3.14,17.3
164,1957,9,Y,3.27,25.8
165,1957,10,Y,2.42,9.6
166,1957,11,Y,0.96,10.8
167,1957,12,Y,1.14,10.6
168,1958,1,Y,1.29,8.4
169,1958,2,Y,2.25,12.9
170,1958,3,Y,0.24,1.9
171,1958,4,Y,1.0,7.2
172,1958,5,Y,1.29,7.7
173,1958,6,Y,1.18,11.3
174,1958,7,Y,3.36,46.4
175,1958,8,Y,2.83,20.5
176,1958,9,Y,0.63,7.4
177,1958,10,Y,1.66,14.3
178,1958,11,Y,2.13,19.8
179,1958,12,Y,3.47,18.9
180,1959,1,Y,2.49,28.0
181,1959,2,Y,0.41,3.8
182,1959,3,Y,1.38,17.1
183,1959,4,Y,3.01,18.5
184,1959,5,Y,1.1,16.7
185,1959,6,Y,0.99,8.9
186,1959,7,Y,1.25,9.1
187,1959,8,Y,0.4,6.1
188,1959,9,Y,1.39,20.2
189,1959,10,Y,2.6,27.1
190,1959,11,Y,2.08,23.6
191,1959,12,Y,2.31,13.3
192,1960,1,Y,4.51,23.6
193,1960,2,Y,1.26,9.4
194,1960,3,Y,0.59,7.9
195,1960,4,Y,1.03,11.0
196,1960,5,Y,0.76,12.6
197,1960,6,Y,2.77,32.1
198,1960,7,Y,3.64,19.0
199,1960,8,Y,2.69,14.2
200,1960,9,Y,1.88,43.5
201,1960,10,Y,1.21,8.4
202,1960,11,Y,3.8,14.4
203,1960,12,Y,3.33,22.3
204,1961,1,Y,1.42,13.8
205,1961,2,Y,1.4,11.0
206,1961,3,Y,0.78,7.2
207,1961,4,Y,1.21,12.4
208,1961,5,Y,0.98,8.2
209,1961,6,Y,1.84,11.0
210,1961,7,Y,1.96,11.3
211,1961,8,Y,1.91,13.7
212,1961,9,Y,2.4,13.3
213,1961,10,Y,2.59,14.9
214,1961,11,Y,2.09,10.8
215,1961,12,Y,1.64,14.9
216,1962,1,Y,2.43,14.6
217,1962,2,Y,2.11,14.6
218,1962,3,Y,1.13,11.5
219,1962,4,Y,1.44,17.6
220,1962,5,Y,1.95,9.4
221,1962,6,Y,1.1,8.6
222,1962,7,Y,2.41,14.1
223,1962,8,Y,6.4,25.0
224,1962,9,Y,2.93,25.9
225,1962,10,Y,2.3,24.2
226,1962,11,Y,1.99,25.6
227,1962,12,Y,1.51,15.0
228,1963,1,Y,0.25,4.0
229,1963,2,Y,0.32,5.3
230,1963,3,Y,1.48,16.7
231,1963,4,Y,0.85,10.9
232,1963,5,Y,1.62,14.7
233,1963,6,Y,1.52,21.0
234,1963,7,Y,3.12,32.5
235,1963,8,Y,5.14,29.7
236,1963,9,Y,2.16,12.9
237,1963,10,Y,3.54,30.0
238,1963,11,Y,4.45,23.5
239,1963,12,Y,1.12,13.1
240,1964,1,Y,0.73,6.4
241,1964,2,Y,0.71,4.8
242,1964,3,Y,0.02,0.6
243,1964,4,Y,1.36,19.8
244,1964,5,Y,1.3,10.0
245,1964,6,Y,3.02,28.2
246,1964,7,Y,3.25,22.6
247,1964,8,Y,0.71,8.7
248,1964,9,Y,1.77,15.2
249,1964,10,Y,4.63,22.8
250,1964,11,Y,1.67,10.6
251,1964,12,Y,3.87,18.0
252,1965,1,Y,1.84,10.2
253,1965,2,Y,0.41,4.0
254,1965,3,Y,0.75,5.1
255,1965,4,Y,1.51,9.3
256,1965,5,Y,0.95,11.2
257,1965,6,Y,2.49,17.6
258,1965,7,Y,3.42,26.4
259,1965,8,Y,2.76,16.0
260,1965,9,Y,3.63,24.0
261,1965,10,Y,1.3,18.3
262,1965,11,Y,1.63,16.6
263,1965,12,Y,2.78,17.5
264,1966,1,Y,1.18,14.2
265,1966,2,Y,2.66,11.6
266,1966,3,Y,2.51,16.1
267,1966,4,Y,1.16,12.7
268,1966,5,Y,0.91,8.4
269,1966,6,Y,1.58,12.0
270,1966,7,Y,1.63,20.5
271,1966,8,Y,2.77,16.4
272,1966,9,Y,1.63,9.5
273,1966,10,Y,2.41,15.0
274,1966,11,Y,3.17,23.1
275,1966,12,Y,3.7,21.1
276,1967,1,Y,2.84,20.5
277,1967,2,Y,3.09,24.5
278,1967,3,Y,2.09,14.6
279,1967,4,Y,1.95,19.1
280,1967,5,Y,1.85,13.5
281,1967,6,Y,1.41,12.4
282,1967,7,Y,1.77,21.2
283,1967,8,Y,2.63,29.2
284,1967,9,Y,3.03,17.5
285,1967,10,Y,7.11,34.8
286,1967,11,Y,2.0,17.5
287,1967,12,Y,2.35,24.9
288,1968,1,Y,2.16,17.3
289,1968,2,Y,0.96,7.0
290,1968,3,Y,2.13,10.7
