Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1961,1,21.4,Y,2.02,21.4
1961,2,10.3,Y,1.54,10.3
1961,3,11.4,Y,1.22,11.4
1961,4,10.2,Y,1.19,10.2
1961,5,7.0,Y,0.85,7.0
1961,6,15.0,Y,2.26,15.0
1961,7,14.0,Y,3.04,14.0
1961,8,22.7,Y,2.48,22.7
1961,9,21.2,Y,2.94,21.2
1961,10,18.2,Y,2.66,18.2
1961,11,15.3,Y,2.57,15.3
1961,12,10.5,Y,1.31,10.5
1962,1,14.9,Y,2.9,14.9
1962,2,17.0,Y,2.87,17.0
1962,3,10.0,Y,1.03,10.0
1962,4,16.4,Y,1.72,16.4
1962,5,11.8,Y,2.28,11.8
1962,6,9.5,Y,1.15,9.5
1962,7,21.7,Y,2.8,21.7
1962,8,33.8,Y,7.0,33.8
1962,9,31.1,Y,3.33,31.1
1962,10,28.0,Y,2.46,28.0
1962,11,26.8,Y,2.1,26.8
1962,12,15.2,Y,2.07,15.2
1963,1,4.9,Y,0.32,4.9
1963,2,4.0,Y,0.31,4.0
1963,3,15.0,Y,1.7,15.0
1963,4,12.2,Y,0.91,12.2
1963,5,13.4,Y,1.83,13.4
1963,6,16.3,Y,1.43,16.3
1963,7,25.8,Y,3.04,25.8
1963,8,37.2,Y,5.57,37.2
1963,9,9.4,Y,2.31,9.4
1963,10,26.5,Y,4.55,26.5
1963,11,21.0,Y,4.76,21.0
1963,12,12.4,Y,1.34,12.4
1964,1,12.9,Y,1.28,12.9
1964,2,7.5,Y,0.81,7.5
1964,3,0.5,Y,0.02,0.5
1964,4,19.2,Y,1.7,19.2
1964,5,9.4,Y,1.07,9.4
1964,6,30.8,Y,3.27,30.8
1964,7,24.9,Y,3.63,24.9
1964,8,9.1,Y,0.75,9.1
1964,9,14.0,Y,2.19,14.0
1964,10,32.8,Y,5.08,32.8
1964,11,11.6,Y,2.05,11.6
1964,12,21.8,Y,4.59,21.8
1965,1,10.4,Y,2.5,10.4
1965,2,5.3,Y,0.58,5.3
1965,3,6.7,Y,0.98,6.7
1965,4,9.0,Y,1.84,9.0
1965,5,11.0,Y,0.88,11.0
1965,6,11.6,Y,2.04,11.6
1965,7,23.7,Y,3.08,23.7
1965,8,13.5,Y,2.17,13.5
1965,9,24.0,Y,3.29,24.0
1965,10,19.2,Y,1.21,19.2
1965,11,16.7,Y,1.72,16.7
1965,12,16.9,Y,2.93,16.9
1966,1,12.5,Y,1.27,12.5
1966,2,10.0,Y,2.45,10.0
1966,3,18.3,Y,2.99,18.3
1966,4,18.2,Y,1.24,18.2
1966,5,10.0,Y,0.86,10.0
1966,6,6.8,Y,1.22,6.8
1966,7,16.1,Y,1.65,16.1
1966,8,17.6,Y,3.02,17.6
1966,9,11.2,Y,1.76,11.2
1966,10,15.8,Y,2.55,15.8
1966,11,26.1,Y,3.16,26.1
1966,12,16.4,Y,3.6,16.4
1967,1,22.6,Y,3.37,22.6
1967,2,16.4,Y,2.52,16.4
1967,3,32.2,Y,2.66,32.2
1967,4,17.8,Y,1.76,17.8
1967,5,18.3,Y,2.32,18.3
1967,6,11.2,Y,1.43,11.2
1967,7,25.5,Y,1.83,25.5
1967,8,16.9,Y,2.33,16.9
1967,9,14.6,Y,2.77,14.6
1967,10,34.2,Y,6.91,34.2
1967,11,20.0,Y,1.92,20.0
1967,12,20.7,Y,2.24,20.7
1968,1,15.7,Y,2.37,15.7
1968,2,18.0,Y,1.3,18.0
1968,3,11.2,Y,2.06,11.2
1968,4,16.5,Y,1.68,16.5
1968,5,19.0,Y,1.98,19.0
1968,6,9.0,Y,1.57,9.0
1968,7,17.8,Y,1.46,17.8
1968,8,13.4,Y,2.08,13.4
1968,9,28.8,Y,2.75,28.8
1968,10,16.7,Y,3.55,16.7
1968,11,15.0,Y,1.99,15.0
1968,12,12.0,Y,1.53,12.0
1969,1,14.0,Y,2.67,14.0
1969,2,5.7,Y,0.68,5.7
1969,3,12.5,Y,0.75,12.5
1969,4,6.5,Y,0.85,6.5
1969,7,17.0,Y,1.6,17.0
1969,8,19.3,Y,1.28,19.3
1969,9,17.4,Y,1.97,17.4
1969,10,12.5,Y,1.12,12.5
1969,11,15.1,Y,4.05,15.1
1969,12,14.4,Y,0.7,14.4
1970,1,9.5,Y,0.66,9.5
1970,2,12.9,Y,1.26,12.9
1970,3,16.5,Y,2.49,16.5
1970,4,17.3,Y,2.38,17.3
1970,5,9.1,Y,1.4,9.1
1970,6,56.8,Y,3.61,56.8
1970,7,17.3,Y,3.8,17.3
1970,8,19.4,Y,1.86,19.4
1970,9,20.0,Y,3.27,20.0
1970,10,20.6,G,3.68,20.6
1970,11,20.2,Y,3.2,20.2
1970,12,13.6,Y,1.25,13.6
1971,1,20.4,Y,2.54,20.4
1971,2,16.1,Y,1.55,16.1
1971,3,9.1,Y,1.79,9.1
1971,4,10.2,Y,1.3,10.2
1971,5,13.0,Y,1.06,13.0
1971,6,39.5,Y,2.08,39.5
1971,7,19.9,Y,2.74,19.9
1971,8,41.3,Y,3.56,41.3
1971,9,26.2,Y,2.64,26.2
1971,10,19.0,Y,2.45,19.0
1971,11,27.8,Y,3.85,27.8
1971,12,18.1,Y,2.21,18.1
1972,1,5.7,Y,0.89,5.7
1972,2,5.3,Y,0.72,5.3
1972,3,8.0,Y,0.95,8.0
1972,7,22.0,Y,2.85,22.0
1972,8,5.5,Y,0.99,5.5
1972,9,7.9,Y,0.66,7.9
1972,10,8.6,Y,0.72,8.6
1972,11,8.0,Y,1.56,8.0
1972,12,15.1,Y,2.2,15.1
1973,1,12.4,Y,1.62,12.4
1973,2,23.8,Y,1.7,23.8
1973,3,4.7,Y,0.62,4.7
1973,4,17.8,Y,1.52,17.8
1973,5,13.2,Y,1.82,13.2
