Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1944,1,16.6,G,2.7,16.6
1944,2,9.8,G,0.69,9.8
1944,3,4.0,G,0.64,4.0
1944,4,12.8,G,1.2,12.8
1944,5,10.0,G,1.54,10.0
1944,6,15.0,G,2.74,15.0
1944,7,19.8,G,1.67,19.8
1944,8,20.4,G,1.32,20.4
1944,9,32.0,G,4.5,32.0
1944,10,19.0,G,1.88,19.0
1944,11,18.0,G,3.77,18.0
1944,12,17.5,G,2.88,17.5
1945,1,18.2,G,2.18,18.2
1945,2,12.5,G,2.2,12.5
1945,3,9.8,G,0.96,9.8
1945,4,12.0,G,0.66,12.0
1945,5,11.5,G,1.61,11.5
1945,6,28.0,G,1.96,28.0
1945,7,57.0,G,4.47,57.0
1945,8,24.2,G,3.25,24.2
1945,9,16.0,G,2.25,16.0
1945,10,15.4,G,1.56,15.4
1945,11,15.3,G,0.94,15.3
1945,12,10.6,G,1.48,10.6
1946,1,11.0,G,1.47,11.0
1946,2,15.2,G,2.14,15.2
1946,3,7.3,G,0.85,7.3
1946,4,8.3,G,0.78,8.3
1946,5,22.1,G,1.04,22.1
1946,6,25.8,G,3.21,25.8
1946,7,50.0,G,3.59,50.0
1946,8,11.2,G,1.83,11.2
1946,9,24.4,G,4.94,24.4
1946,10,11.3,G,0.8,11.3
1946,11,10.7,G,2.83,10.7
1946,12,11.4,G,1.42,11.4
1947,1,7.2,G,0.61,7.2
1947,2,7.0,G,0.4,7.0
1947,3,12.7,G,2.07,12.7
1947,4,11.1,G,1.77,11.1
1947,5,0.7,G,0.03,0.7
1947,6,15.0,G,1.35,15.0
1947,7,14.5,G,1.59,14.5
1947,8,6.1,G,0.25,6.1
1947,9,10.9,G,1.1,10.9
1947,10,3.1,G,0.34,3.1
1947,11,18.8,G,3.54,18.8
1947,12,4.8,G,0.77,4.8
1948,1,19.0,G,1.77,19.0
1948,2,11.0,G,1.12,11.0
1948,3,5.5,G,0.68,5.5
1948,4,17.2,G,2.07,17.2
1948,5,8.8,G,0.77,8.8
1948,6,16.1,G,1.74,16.1
1948,7,8.6,G,1.33,8.6
1948,8,28.5,G,3.67,28.5
1948,9,16.6,G,2.34,16.6
1948,10,16.5,G,1.72,16.5
1948,11,6.3,G,0.99,6.3
1948,12,17.3,G,1.66,17.3
1949,1,13.1,G,2.29,13.1
1949,2,8.8,G,1.01,8.8
1949,3,2.2,G,0.25,2.2
1949,4,22.4,G,2.82,22.4
1949,5,24.9,G,2.23,24.9
1949,6,6.2,G,0.56,6.2
1949,7,12.6,G,0.92,12.6
1949,8,25.9,G,2.32,25.9
1949,9,14.6,G,1.34,14.6
1949,10,35.8,G,4.97,35.8
1949,11,11.7,G,1.63,11.7
1949,12,17.0,G,3.91,17.0
1950,1,6.2,G,0.93,6.2
1950,2,17.8,G,2.99,17.8
1950,3,30.8,G,2.15,30.8
1950,4,11.1,G,1.65,11.1
